DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	Price	Currency	UpdateTime
2017-04-07 09:00:00.000	PT60M	10YNO-3--------J	BZN	NO3 BZN	NO3	31.60	EUR	2017-09-14 09:31:39
2017-04-07 13:00:00.000	PT60M	10YNO-3--------J	BZN	NO3 BZN	NO3	28.37	EUR	2017-09-14 09:31:39
2017-04-07 17:00:00.000	PT60M	10YNO-3--------J	BZN	NO3 BZN	NO3	28.57	EUR	2017-09-14 09:31:39
2017-04-07 21:00:00.000	PT60M	10YNO-3--------J	BZN	NO3 BZN	NO3	27.36	EUR	2017-09-14 09:31:39
2017-04-07 01:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	24.07	EUR	2017-09-14 09:31:39
2017-04-07 05:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	38.10	EUR	2017-09-14 09:31:39
2017-04-07 09:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	39.06	EUR	2017-09-14 09:31:39
2017-04-07 13:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	30.00	EUR	2017-09-14 09:31:39
2017-04-07 17:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	37.01	EUR	2017-09-14 09:31:39
2017-04-07 21:00:00.000	PT60M	10YLV-1001A00074	BZN	LV BZN	LV	27.36	EUR	2017-09-14 09:31:39
2017-04-07 01:00:00.000	PT60M	10YFI-1--------U	BZN	FI BZN	FI	24.07	EUR	2017-09-14 09:31:39
2017-04-07 05:00:00.000	PT60M	10YFI-1--------U	BZN	FI BZN	FI	38.10	EUR	2017-09-14 09:31:39
2017-04-07 09:00:00.000	PT60M	10YFI-1--------U	BZN	FI BZN	FI	39.06	EUR	2017-09-14 09:31:39
2017-04-07 13:00:00.000	PT60M	10YFI-1--------U	BZN	FI BZN	FI	30.00	EUR	2017-09-14 09:31:39
2017-04-07 17:00:00.000	PT60M	10YFI-1--------U	BZN	FI BZN	FI	37.01	EUR	2017-09-14 09:31:39
2017-04-07 21:00:00.000	PT60M	10YFI-1--------U	BZN	FI BZN	FI	27.36	EUR	2017-09-14 09:31:39
2017-04-07 01:00:00.000	PT60M	10YNO-1--------2	BZN	NO1 BZN	NO1	26.32	EUR	2017-09-14 09:31:39
2017-04-07 05:00:00.000	PT60M	10YNO-1--------2	BZN	NO1 BZN	NO1	28.91	EUR	2017-09-14 09:31:39
2017-04-07 09:00:00.000	PT60M	10YNO-1--------2	BZN	NO1 BZN	NO1	28.74	EUR	2017-09-14 09:31:39
2017-04-07 13:00:00.000	PT60M	10YNO-1--------2	BZN	NO1 BZN	NO1	28.37	EUR	2017-09-14 09:31:39
2017-04-07 17:00:00.000	PT60M	10YNO-1--------2	BZN	NO1 BZN	NO1	28.57	EUR	2017-09-14 09:31:39
2017-04-07 21:00:00.000	PT60M	10YNO-1--------2	BZN	NO1 BZN	NO1	27.36	EUR	2017-09-14 09:31:39
