datetime_clean,total_load_clean,residual_load_clean,hydro_storage_clean
2015-01-01 00:00:00,44600.25,"35.955,75","601,50"
2015-01-01 01:00:00,43454.75,"34.641,00","346,25"
2015-01-01 02:00:00,41963.25,"32.909,25","521,75"
2015-01-01 03:00:00,40617.75,"31.548,00","1.228,25"
2015-01-01 04:00:00,39936.75,"30.773,50","1.821,50"
2015-01-01 05:00:00,39272.5,"30.040,75","2.458,25"
2015-01-01 06:00:00,37850.25,"28.161,50","2.867,25"
2015-01-01 07:00:00,38098.5,"27.767,25","2.901,25"
2015-01-01 08:00:00,38792.5,"28.531,25","2.639,75"
2015-01-01 09:00:00,41406.25,"30.604,25","1.773,25"
2015-01-01 10:00:00,44266.5,"31.599,75","1.299,75"
2015-01-01 11:00:00,47206.25,"32.452,25","708,25"
2015-01-01 12:00:00,48502.25,"32.201,00","889,25"
2015-01-01 13:00:00,47527.75,"31.522,25","813,75"
2015-01-01 14:00:00,46772.0,"32.572,50","544,00"
2015-01-01 15:00:00,46733.5,"34.137,00","216,00"
2015-01-01 16:00:00,49116.75,"35.484,25","558,00"
2015-01-01 17:00:00,53624.25,"38.188,25","318,50"
2015-01-01 18:00:00,54305.25,"37.437,25","545,25"
2015-01-01 19:00:00,53634.5,"35.626,50","414,00"
2015-01-01 20:00:00,51435.75,"32.254,50","459,75"
2015-01-01 21:00:00,50091.75,"29.739,25","666,25"
2015-01-01 22:00:00,50165.25,"28.929,75","425,00"
2015-01-01 23:00:00,47478.25,"25.395,25","878,75"
2015-01-02 00:00:00,44460.5,"21.988,75","2.010,25"
2015-01-02 01:00:00,42670.5,"19.236,00","3.152,75"
2015-01-02 02:00:00,41735.5,"17.487,50","1.963,75"
2015-01-02 03:00:00,41656.75,"16.623,25","1.849,50"
2015-01-02 04:00:00,42468.5,"16.747,50","2.319,75"
2015-01-02 05:00:00,43863.75,"17.691,75","3.171,75"
2015-01-02 06:00:00,46318.75,"19.963,25","2.133,00"
2015-01-02 07:00:00,50579.25,"24.386,50","891,50"
2015-01-02 08:00:00,54583.25,"27.955,50","572,25"
2015-01-02 09:00:00,57713.25,"31.526,50","236,25"
2015-01-02 10:00:00,59730.75,"33.422,50","158,25"
2015-01-02 11:00:00,61311.5,"34.238,75","130,75"
2015-01-02 12:00:00,61503.75,"34.135,75","163,00"
2015-01-02 13:00:00,60480.5,"32.787,00","214,75"
2015-01-02 14:00:00,59254.25,"32.604,75","498,75"
2015-01-02 15:00:00,58552.5,"33.054,00","650,25"
2015-01-02 16:00:00,59910.25,"35.145,75","998,00"
2015-01-02 17:00:00,62960.25,"38.658,75","467,50"
2015-01-02 18:00:00,63258.75,"38.248,50","504,75"
2015-01-02 19:00:00,61549.0,"36.766,25","507,25"
2015-01-02 20:00:00,57719.5,"33.441,00","448,00"
2015-01-02 21:00:00,55208.0,"30.841,75","1.022,25"
2015-01-02 22:00:00,53548.25,"29.003,00","1.310,25"
2015-01-02 23:00:00,47877.5,"23.251,50","1.850,50"
2015-01-03 00:00:00,44219.0,"20.143,25","2.530,00"
2015-01-03 01:00:00,41929.25,"18.652,50","2.645,25"
2015-01-03 02:00:00,40539.5,"18.422,25","2.093,25"
2015-01-03 03:00:00,40216.75,"19.299,25","1.587,75"
2015-01-03 04:00:00,40511.75,"20.221,00","1.635,50"
2015-01-03 05:00:00,40922.0,"20.414,25","2.125,25"
2015-01-03 06:00:00,42200.0,"20.873,50","2.086,75"
2015-01-03 07:00:00,44595.5,"22.649,75","2.034,00"
2015-01-03 08:00:00,47848.5,"24.795,00","1.695,25"
2015-01-03 09:00:00,51335.0,"27.308,00","576,75"
2015-01-03 10:00:00,53980.0,"29.604,50","469,75"
2015-01-03 11:00:00,56019.25,"31.089,50","637,00"
2015-01-03 12:00:00,56022.25,"31.576,25","244,75"
2015-01-03 13:00:00,55898.25,"33.569,50","73,00"
2015-01-03 14:00:00,54996.0,"34.945,75","27,25"
2015-01-03 15:00:00,54869.75,"37.207,75","54,50"
2015-01-03 16:00:00,57122.0,"41.063,00","278,25"
2015-01-03 17:00:00,60276.75,"44.899,00","304,00"
2015-01-03 18:00:00,60626.75,"46.177,75","232,00"
2015-01-03 19:00:00,59285.25,"46.339,00","368,00"
2015-01-03 20:00:00,55267.25,"41.396,75","625,50"
2015-01-03 21:00:00,52721.75,"37.505,50","719,75"
2015-01-03 22:00:00,52364.75,"36.553,75","531,25"
2015-01-03 23:00:00,49542.25,"32.205,00","1.119,50"
2015-01-04 00:00:00,46426.0,"28.561,50","762,50"
2015-01-04 01:00:00,42268.5,"23.532,25","1.837,75"
2015-01-04 02:00:00,40835.0,"21.937,00","2.347,50"
2015-01-04 03:00:00,40213.75,"21.248,00","2.200,75"
2015-01-04 04:00:00,40328.5,"21.230,25","2.325,50"
2015-01-04 05:00:00,39899.25,"21.149,25","1.904,00"
2015-01-04 06:00:00,39316.25,"20.689,75","2.206,25"
2015-01-04 07:00:00,41820.0,"23.825,00","1.782,75"
2015-01-04 08:00:00,44653.25,"26.634,00","1.052,00"
2015-01-04 09:00:00,47858.5,"29.636,00","547,75"
2015-01-04 10:00:00,51218.5,"31.625,75","302,00"
2015-01-04 11:00:00,54499.75,"33.444,25","96,75"
2015-01-04 12:00:00,54814.0,"33.386,25","495,00"
2015-01-04 13:00:00,53261.75,"32.610,75","871,75"
2015-01-04 14:00:00,51518.75,"32.979,00","498,50"
2015-01-04 15:00:00,51112.5,"35.076,50","119,00"
2015-01-04 16:00:00,53144.25,"38.900,25","37,50"
2015-01-04 17:00:00,57620.5,"43.906,00","3,75"
2015-01-04 18:00:00,58718.0,"44.968,00","69,75"
